"ISIC Rev. 4 label","Code","Section (1-digit)","Division (2-digit)","Group (3-digit)","Inclusions","Exclusions"
"Sewerage","370","E Water supply; sewerage, waste management and remediation activities","37 Sewerage",,"See class 3700.",
"Sewerage","3700","E Water supply; sewerage, waste management and remediation activities","37 Sewerage","370 Sewerage","This class includes:
- operation of sewer systems or sewer treatment facilities
- collecting and transporting of human or industrial wastewater from one or several users, as well as rain water by means of sewerage networks, collectors, tanks and other mea",
"Waste collection, treatment and disposal activities; materials recovery","38","E Water supply; sewerage, waste management and remediation activities",,,"This division includes the collection, treatment, and disposal of waste materials. This also includes local hauling of waste materials and the operation of materials recovery facilities (i.e. those that sort recoverable materials from a waste stream).",
"Waste collection","381","E Water supply; sewerage, waste management and remediation activities","38 Waste collection, treatment and disposal activities; materials recovery",,"This group includes the collection of waste from households and businesses by means of refuse bins, wheeled bins, containers, etc. It includes collection of non-hazardous and hazardous waste e.g. waste from households, used batteries, used cooking oils an",
"Collection of non-hazardous waste","3811","E Water supply; sewerage, waste management and remediation activities","38 Waste collection, treatment and disposal activities; materials recovery","381 Waste collection","This class includes:
- collection of non-hazardous solid waste (i.e. garbage) within a local area, such as collection of waste from households and businesses by means of refuse bins, wheeled bins, containers etc may include mixed recoverable materials
- c","This class excludes:
- collection of hazardous waste, see 3812
- operation of landfills for the disposal of non-hazardous waste, see 3821
- operation of facilities where commingled recoverable materials such as paper, plastics, etc. are sorted into distin"
"Collection of hazardous waste","3812","E Water supply; sewerage, waste management and remediation activities","38 Waste collection, treatment and disposal activities; materials recovery","381 Waste collection","This class includes the collection of solid and non-solid hazardous waste, i.e. explosive, oxidizing, flammable, toxic, irritant, carcinogenic, corrosive, infectious and other substances and preparations harmful for human health and environment. It may al","This class excludes:
- remediation and clean up of contaminated buildings, mine sites, soil, ground water, e.g. asbestos removal, see 3900"
"Waste treatment and disposal","382","E Water supply; sewerage, waste management and remediation activities","38 Waste collection, treatment and disposal activities; materials recovery",,"This group includes the disposal and treatment prior to disposal of various forms of waste by different means, such as waste treatment of organic waste with the aim of disposal; treatment and disposal of toxic live or dead animals and other contaminated w","This group excludes:
- treatment and disposal of wastewater, see 3700"
"Treatment and disposal of non-hazardous waste","3821","E Water supply; sewerage, waste management and remediation activities","38 Waste collection, treatment and disposal activities; materials recovery","382 Waste treatment and disposal","This class includes the disposal, treatment prior to disposal and other treatment of solid or non-solid non-hazardous waste.

This class includes:
- operation of landfills for the disposal of non-hazardous waste
- disposal of non-hazardous waste by combus","This class excludes:
- incineration and combustion of hazardous waste, see 3822
- operation of facilities where commingled recoverable materials such as paper, plastics, used beverage cans and metals, are sorted into distinct categories, see 3830
- decont"
"Treatment and disposal of hazardous waste","3822","E Water supply; sewerage, waste management and remediation activities","38 Waste collection, treatment and disposal activities; materials recovery","382 Waste treatment and disposal","This class includes the disposal and treatment prior to disposal of solid or non-solid hazardous waste, including waste that is explosive, oxidizing, flammable, toxic, irritant, carcinogenic, corrosive or infectious and other substances and preparations h","This class excludes:
- incineration of non-hazardous waste, see 3821
- decontamination, clean up of land, water; toxic material abatement, see 3900
- reprocessing of nuclear fuels, see 2011"
"Materials recovery","383","E Water supply; sewerage, waste management and remediation activities","38 Waste collection, treatment and disposal activities; materials recovery",,"See class 3830.",
"Materials recovery","3830","E Water supply; sewerage, waste management and remediation activities","38 Waste collection, treatment and disposal activities; materials recovery","383 Materials recovery","This class includes:
- processing of metal and non-metal waste and scrap and other articles into secondary raw materials, usually involving a mechanical or chemical transformation process
- recovery of materials from waste streams in the form of:
* separa","This class excludes:
- manufacture of new final products from (whether or not self-produced) secondary raw materials, such as spinning yarn from garnetted stock, making pulp from paper waste, retreading tyres or production of metal from metal scrap, see c"
"Remediation activities and other waste management services","39","E Water supply; sewerage, waste management and remediation activities",,,"This division includes the provision of remediation services, i.e. the cleanup of contaminated buildings and sites, soil, surface or ground water.",
"Remediation activities and other waste management services","390","E Water supply; sewerage, waste management and remediation activities","39 Remediation activities and other waste management services",,"See class 3900.",
"Remediation activities and other waste management services","3900","E Water supply; sewerage, waste management and remediation activities","39 Remediation activities and other waste management services","390 Remediation activities and other waste management services","This class includes:
- decontamination of soils and groundwater at the place of pollution, either in situ or ex situ, using e.g. mechanical, chemical or biological methods
- decontamination of industrial plants or sites, including nuclear plants and sites","This class excludes:
- treatment and disposal of non-hazardous waste, see 3821
- treatment and disposal of hazardous waste, see 3822
- outdoor sweeping and watering of streets etc., see 8129"
"Construction","F","F Construction",,,"This section includes general construction and specialized construction activities for buildings and civil engineering works. It includes new work, repair, additions and alterations, the erection of prefabricated buildings or structures on the site and al",
"Construction of buildings","41","F Construction",,,"This division includes general construction of buildings of all kinds. It includes new work, repair, additions and alterations, the erection of pre-fabricated buildings or structures on the site and also construction of temporary nature. 

Included is the",
"Construction of buildings","410","F Construction","41 Construction of buildings",,"See class 4100.",
"Construction of buildings","4100","F Construction","41 Construction of buildings","410 Construction of buildings","This class includes the construction of complete residential or non-residential buildings, on own account for sale or on a fee or contract basis. Outsourcing parts or even the whole construction process is possible. If only specialized parts of the constr","This class excludes:
- erection of complete prefabricated constructions from self-manufactured parts not of concrete, see divisions 16 and 25
- construction of industrial facilities, except buildings, see 4290
- architectural and engineering activities, s"
"Civil engineering","42","F Construction",,,"This division includes general construction for civil engineering objects. It includes new work, repair, additions and alterations, the erection of pre-fabricated structures on the site and also construction of temporary nature.

Included is the construct",
"Construction of roads and railways","421","F Construction","42 Civil engineering",,"See class 4210.",
"Construction of roads and railways","4210","F Construction","42 Civil engineering","421 Construction of roads and railways","This class includes:
- construction of motorways, streets, roads, other vehicular and pedestrian ways
- surface work on streets, roads, highways, bridges or tunnels:
* asphalt paving of roads
* road painting and other marking
* installation of crash barri","This class excludes:
- installation of street lighting and electrical signals, see 4321
- architectural and engineering activities, see 7110
- project management activities related to civil engineering works, see 7110"
"Construction of utility projects","422","F Construction","42 Civil engineering",,"See class 4220.",
"Construction of utility projects","4220","F Construction","42 Civil engineering","422 Construction of utility projects","This class includes the construction of distribution lines and related buildings and structures that are integral part of these systems.

This class includes:
- construction of civil engineering constructions for:
* long-distance pipelines, communication ","This class excludes:
- project management activities related to civil engineering works, see 7110"
"Construction of other civil engineering projects","429","F Construction","42 Civil engineering",,"See class 4290.",
"Construction of other civil engineering projects","4290","F Construction","42 Civil engineering","429 Construction of other civil engineering projects","This class includes:
- construction of industrial facilities, except buildings, such as:
* refineries
* chemical plants
- construction of:
* waterways, harbour and river works, pleasure ports (marinas), locks, etc.
* dams and dykes
- dredging of waterways","This class excludes:
- project management activities related to civil engineering works, see 7110"
"Specialized construction activities","43","F Construction",,,"This division includes specialized construction activities (special trades), i.e. the construction of parts of buildings and civil engineering works without responsibility for the entire project. These activities are usually specialized in one aspect comm",
"Demolition and site preparation","431","F Construction","43 Specialized construction activities",,"This group includes activities of preparing a site for subsequent construction activities, including the removal of previously existing structures.",
"Demolition","4311","F Construction","43 Specialized construction activities","431 Demolition and site preparation","This class includes:
- demolition or wrecking of buildings and other structures",
"Site preparation","4312","F Construction","43 Specialized construction activities","431 Demolition and site preparation","This class includes the preparation of sites for subsequent construction activities.

This class includes:
- clearing of building sites
- earth moving: excavation, landfill, levelling and grading of construction sites, trench digging, rock removal, blasti","This class excludes:
- drilling of production oil or gas wells, see 0610, 0620
- test drilling and test hole boring for mining operations (other than oil and gas extraction), see 0990
- decontamination of soil, see 3900
- water well drilling, see 4220
- s"
"Electrical, plumbing and other construction installation activities","432","F Construction","43 Specialized construction activities",,"This group includes installation activities that support the functioning of a building as such, including installation of electrical systems, plumbing (water, gas and sewage systems), heat and air-conditioning systems, elevators etc.",
"Electrical installation","4321","F Construction","43 Specialized construction activities","432 Electrical, plumbing and other construction installation activities","This class includes the installation of electrical systems in all kinds of buildings and civil engineering structures.

This class includes:
- installation of:
* electrical wiring and fittings
* telecommunications wiring
* computer network and cable telev","This class excludes:
- construction of communications and power transmission lines, see 4220
- monitoring or remote monitoring of electronic security alarm systems, such as burglar and fire alarms, including their maintenance, see 8020"
"Plumbing, heat and air-conditioning installation","4322","F Construction","43 Specialized construction activities","432 Electrical, plumbing and other construction installation activities","This class includes the installation of plumbing, heating and air-conditioning systems, including additions, alterations, maintenance and repair.

This class includes:
- installation in buildings or other construction projects of:
* heating systems (elect","This class excludes:
- installation of electric baseboard heating, see 4321"
"Other construction installation","4329","F Construction","43 Specialized construction activities","432 Electrical, plumbing and other construction installation activities","This class includes the installation of equipment other than electrical, plumbing, heating and air-conditioning systems or industrial machinery in buildings and civil engineering structures, including maintenance and repair.

This class includes:
- instal","This class excludes:
- installation of industrial machinery, see 3320"
"Building completion and finishing","433","F Construction","43 Specialized construction activities",,"See class 4330.",
"Building completion and finishing","4330","F Construction","43 Specialized construction activities","433 Building completion and finishing","This class includes:
- application in buildings or other construction projects of interior and exterior plaster or stucco, including related lathing materials
- installation of doors (except automated and revolving), windows, door and window frames, of wo","This class excludes:
- painting of roads, see 4210
- installation of automated and revolving doors, see 4329
- general interior cleaning of buildings and other structures, see 8121
- specialized interior and exterior cleaning of buildings, see 8129
- acti"
"Other specialized construction activities","439","F Construction","43 Specialized construction activities",,"See class 4390.",
"Other specialized construction activities","4390","F Construction","43 Specialized construction activities","439 Other specialized construction activities","This class includes:
- construction activities specializing in one aspect common to different kind of structures, requiring specialized skill or equipment:
* construction of foundations, including pile driving
* damp proofing and water proofing works
* de","This class excludes:
- renting of construction machinery and equipment without operator, see 7730"
"Wholesale and retail trade; repair of motor vehicles and motorcycles","G","G Wholesale and retail trade; repair of motor vehicles and motorcycles",,,"This section includes wholesale and retail sale (i.e. sale without transformation) of any type of goods and the rendering of services incidental to the sale of these goods. Wholesaling and retailing are the final steps in the distribution of goods. Goods ",
"Wholesale and retail trade and repair of motor vehicles and motorcycles","45","G Wholesale and retail trade; repair of motor vehicles and motorcycles",,,"This division includes all activities (except manufacture and renting) related to motor vehicles and motorcycles, including lorries and trucks, such as the wholesale and retail sale of new and second-hand vehicles, the repair and maintenance of vehicles a",
"Sale of motor vehicles","451","G Wholesale and retail trade; repair of motor vehicles and motorcycles","45 Wholesale and retail trade and repair of motor vehicles and motorcycles",,"See class 4510.",
"Sale of motor vehicles","4510","G Wholesale and retail trade; repair of motor vehicles and motorcycles","45 Wholesale and retail trade and repair of motor vehicles and motorcycles","451 Sale of motor vehicles","This class includes:
- wholesale and retail sale of new and used vehicles:
* passenger motor vehicles, including specialized passenger motor vehicles such as ambulances and minibuses, etc.
* lorries, trailers and semi-trailers
* camping vehicles such as c","This class excludes:
- wholesale and retail sale of parts and accessories for motor vehicles, see 4530
- renting of motor vehicles with driver, see 4922
- renting of trucks with driver, see 4923
- renting of motor vehicles and trucks without driver, see 7"
"Maintenance and repair of motor vehicles","452","G Wholesale and retail trade; repair of motor vehicles and motorcycles","45 Wholesale and retail trade and repair of motor vehicles and motorcycles",,"See class 4520.",
"Maintenance and repair of motor vehicles","4520","G Wholesale and retail trade; repair of motor vehicles and motorcycles","45 Wholesale and retail trade and repair of motor vehicles and motorcycles","452 Maintenance and repair of motor vehicles","This class includes:
- maintenance and repair of motor vehicles:
* mechanical repairs
* electrical repairs
* electronic injection systems repair
* ordinary servicing
* bodywork repair
* repair of motor vehicle parts
* washing, polishing, etc.
* spraying a","This class excludes:
- retreading and rebuilding of tyres, see 2211"
"Sale of motor vehicle parts and accessories","453","G Wholesale and retail trade; repair of motor vehicles and motorcycles","45 Wholesale and retail trade and repair of motor vehicles and motorcycles",,"See class 4530.",
"Sale of motor vehicle parts and accessories","4530","G Wholesale and retail trade; repair of motor vehicles and motorcycles","45 Wholesale and retail trade and repair of motor vehicles and motorcycles","453 Sale of motor vehicle parts and accessories","This class includes:
- wholesale and retail sale of all kinds of parts, components, supplies, tools and accessories for motor vehicles, such as:
* rubber tires and inner tubes for tires
* spark plugs, batteries, lighting equipment and electrical parts","This class excludes:
- retail sale of automotive fuel, see 4730"
"Sale, maintenance and repair of motorcycles and related parts and accessories","454","G Wholesale and retail trade; repair of motor vehicles and motorcycles","45 Wholesale and retail trade and repair of motor vehicles and motorcycles",,"See class 4540.",
"Sale, maintenance and repair of motorcycles and related parts and accessories","4540","G Wholesale and retail trade; repair of motor vehicles and motorcycles","45 Wholesale and retail trade and repair of motor vehicles and motorcycles","454 Sale, maintenance and repair of motorcycles and related parts and accessories","This class includes:
- wholesale and retail sale of motorcycles, including mopeds
- wholesale and retail sale of parts and accessories for motorcycles (including by commission agents and mail order houses)
- maintenance and repair of motorcycles","This class excludes:
- wholesale of bicycles and related parts and accessories, see 4649
- retail sale of bicycles and related parts and accessories, see 4763
- renting of motorcycles, see 7730
- repair and maintenance of bicycles, see 9529"
"Wholesale trade, except of motor vehicles and motorcycles","46","G Wholesale and retail trade; repair of motor vehicles and motorcycles",,,"This division includes wholesale trade on own account or on a fee or contract basis (commission trade) related to domestic wholesale trade as well as international wholesale trade (import/export).

Wholesale is the resale (sale without transformation) of ",
"Wholesale on a fee or contract basis","461","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles",,"See class 4610.",
"Wholesale on a fee or contract basis","4610","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles","461 Wholesale on a fee or contract basis","This class includes:
- activities of commission agents and all other wholesalers who trade on behalf and on the account of others
- activities of those involved in bringing sellers and buyers together or undertaking commercial transactions on behalf of a ","This class excludes:
- wholesale trade in own name, see groups 462 to 469
- activities of commission agents for motor vehicles, see 4510
- auctions of motor vehicles, see 4510
- retail sale by non-store commission agents, see 4799
- activities of insuranc"
"Wholesale of agricultural raw materials and live animals","462","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles",,"See class 4620.",
"Wholesale of agricultural raw materials and live animals","4620","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles","462 Wholesale of agricultural raw materials and live animals","This class includes:
- wholesale of grains and seeds
- wholesale of oleaginous fruits
- wholesale of flowers and plants
- wholesale of unmanufactured tobacco
- wholesale of live animals
- wholesale of hides and skins
- wholesale of leather
- wholesale of ","This class excludes:
- wholesale of textile fibres, see 4669"
"Wholesale of food, beverages and tobacco","463","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles",,"See class 4630.",
"Wholesale of food, beverages and tobacco","4630","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles","463 Wholesale of food, beverages and tobacco","This class includes:
- wholesale of fruit and vegetables
- wholesale of dairy products
- wholesale of eggs and egg products
- wholesale of edible oils and fats of animal or vegetable origin
- wholesale of meat and meat products
- wholesale of fishery prod","This class excludes:
- blending of wine or distilled spirits, see 1101, 1102"
"Wholesale of household goods","464","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles",,"This group includes the wholesale of household goods, including textiles.",
"Wholesale of textiles, clothing and footwear","4641","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles","464 Wholesale of household goods","This class includes:
- wholesale of yarn
- wholesale of fabrics
- wholesale of household linen etc.
- wholesale of haberdashery: needles, sewing thread etc.
- wholesale of clothing, including sports clothes
- wholesale of clothing accessories such as glov","This class excludes:
- wholesale of jewellery and leather goods, see 4649
- wholesale of textile fibres, see 4669"
"Wholesale of other household goods","4649","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles","464 Wholesale of household goods","This class includes:
- wholesale of household furniture
- wholesale of household appliances
- wholesale of consumer electronics:
* radio and TV equipment
* CD and DVD players and recorders
* stereo equipment
* video game consoles
- wholesale of lighting e","This class excludes:
- wholesale of blank audio and video tapes, CDs, DVDs, see 4652
- wholesale of radio and TV broadcasting equipment, see 4652
- wholesale of office furniture, see 4659"
"Wholesale of machinery, equipment and supplies","465","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles",,"This group includes the wholesale of computers, telecommunications equipment, specialized machinery for all kinds of industries and general-purpose machinery.",
"Wholesale of computers, computer peripheral equipment and software","4651","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles","465 Wholesale of machinery, equipment and supplies","This class includes:
- wholesale of computers and computer peripheral equipment
- wholesale of software","This class excludes:
- wholesale of electronic parts, see 4652
- wholesale of office machinery and equipment, (except computers and peripheral equipment), see 4659
- wholesale of computer-controlled machinery, see 4659"
"Wholesale of electronic and telecommunications equipment and parts","4652","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles","465 Wholesale of machinery, equipment and supplies","This class includes:
- wholesale of electronic valves and tubes
- wholesale of semiconductor devices
- wholesale of microchips and integrated circuits
- wholesale of printed circuits
- wholesale of blank audio and video tapes and diskettes, magnetic and o","This class excludes:
- wholesale of recorded audio and video tapes, CDs, DVDs, see 4649
- wholesale of consumer electronics, see 4649
- wholesale of computers and computer peripheral equipment, see 4651"
"Wholesale of agricultural machinery, equipment and supplies","4653","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles","465 Wholesale of machinery, equipment and supplies","This class includes:
- wholesale of agricultural machinery and equipment:
* ploughs, manure spreaders, seeders
* harvesters
* threshers
* milking machines
* poultry-keeping machines, bee-keeping machines
* tractors used in agriculture and forestry

This c",
"Wholesale of other machinery and equipment","4659","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles","465 Wholesale of machinery, equipment and supplies","This class includes:
- wholesale of office machinery and equipment, except computers and computer peripheral equipment
- wholesale of office furniture
- wholesale of transport equipment except motor vehicles, motorcycles and bicycles
- wholesale of produc","This class excludes:
- wholesale of motor vehicles, trailers and caravans, see 4510
- wholesale of motor vehicle parts, see 4530
- wholesale of motorcycles, see 4540
- wholesale of bicycles, see 4649
- wholesale of computers and peripheral equipment, see "
"Other specialized wholesale","466","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles",,"This group includes other specialized wholesale activities not classified in other groups of this division. This includes the wholesale of intermediate products, except agricultural, typically not for household use.",
"Wholesale of solid, liquid and gaseous fuels and related products","4661","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles","466 Other specialized wholesale","This class includes:
- wholesale of fuels, greases, lubricants, oils such as:
* charcoal, coal, coke, fuel wood, naphtha
* crude petroleum, crude oil, diesel fuel, gasoline, fuel oil, heating oil, kerosene
* liquefied petroleum gases, butane and propane g",
"Wholesale of metals and metal ores","4662","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles","466 Other specialized wholesale","This class includes:
- wholesale of ferrous and non-ferrous metal ores
- wholesale of ferrous and non-ferrous metals in primary forms
- wholesale of ferrous and non-ferrous semi-finished metal products n.e.c.
- wholesale of gold and other precious metals","This class excludes:
- wholesale of metal scrap, see 4669"
"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies","4663","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles","466 Other specialized wholesale","This class includes:
- wholesale of wood in the rough
- wholesale of products of primary processing of wood
- wholesale of paint and varnish
- wholesale of construction materials:
* sand, gravel
- wholesale of wallpaper and floor coverings
- wholesale of ",
"Wholesale of waste and scrap and other products n.e.c.","4669","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles","466 Other specialized wholesale","This class includes:
- wholesale of industrial chemicals:
* aniline, printing ink, essential oils, industrial gases, chemical glues, colouring matter, synthetic resin, methanol, paraffin, scents and flavourings, soda, industrial salt, acids and sulphurs, ","This class excludes:
- collection of household and industrial waste, see group 381
- treatment of waste, not for a further use in an industrial manufacturing process, but with the aim of disposal, see group 382
- processing of waste and scrap and other ar"
"Non-specialized wholesale trade","469","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles",,"See class 4690.",
"Non-specialized wholesale trade","4690","G Wholesale and retail trade; repair of motor vehicles and motorcycles","46 Wholesale trade, except of motor vehicles and motorcycles","469 Non-specialized wholesale trade","This class includes:
- wholesale of a variety of goods without any particular specialization",
"Retail trade, except of motor vehicles and motorcycles","47","G Wholesale and retail trade; repair of motor vehicles and motorcycles",,,"This division includes the resale (sale without transformation) of new and used goods mainly to the general public for personal or household consumption or utilization, by shops, department stores, stalls, mail-order houses, hawkers and peddlers, consumer",
"Retail sale in non-specialized stores","471","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles",,"This group includes the retail sale of a variety of product lines in the same unit (non-specialized stores), such as supermarkets or department stores.",
"Retail sale in non-specialized stores with food, beverages or tobacco predominating","4711","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","471 Retail sale in non-specialized stores","This class includes:
- retail sale of a large variety of goods of which, however, food products, beverages or tobacco should be predominant, such as:
* retail sale activities of general stores that have, apart from their main sales of food products, bever","This class excludes:
- retail sale of fuel in combination with food, beverages etc., with fuel sales dominating, see 4730"
"Other retail sale in non-specialized stores","4719","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","471 Retail sale in non-specialized stores","This class includes:
- retail sale of a large variety of goods of which food products, beverages or tobacco are not predominant, such as:
* retail sale activities of department stores carrying a general line of goods, including wearing apparel, furniture,",
"Retail sale of food, beverages and tobacco in specialized stores","472","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles",,"This group includes retail sale in stores specialized in selling food, beverage or tobacco products.",
"Retail sale of food in specialized stores","4721","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","472 Retail sale of food, beverages and tobacco in specialized stores","This class includes:
- retail sale of any the following types of goods:
* fresh or preserved fruit and vegetables
* dairy products and eggs
* meat and meat products (including poultry)
* fish, other seafood and products thereof
* bakery products
* sugar c","This class excludes:
- manufacturing of bakery products, i.e. baking on premises, see 1071"
"Retail sale of beverages in specialized stores","4722","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","472 Retail sale of food, beverages and tobacco in specialized stores","This class includes:
- retail sale of beverages (not for consumption on the premises):
* alcoholic beverages
* non-alcoholic beverages",
"Retail sale of tobacco products in specialized stores","4723","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","472 Retail sale of food, beverages and tobacco in specialized stores","This class includes:
- retail sale of tobacco
- retail sale of tobacco products",
"Retail sale of automotive fuel in specialized stores","473","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles",,"See class 4730.",
"Retail sale of automotive fuel in specialized stores","4730","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","473 Retail sale of automotive fuel in specialized stores","This class includes:
- retail sale of fuel for motor vehicles and motorcycles

This class also includes:
- retail sale of lubricating products and cooling products for motor vehicles","This class excludes:
- wholesale of fuels, see 4661
- retail sale of fuel in combination with food, beverages etc., with food and beverage sales dominating, see 4711
- retail sale of liquefied petroleum gas for cooking or heating, see 4773"
"Retail sale of information and communications equipment in specialized stores","474","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles",,"This group includes the retail sale of information and communications equipment, such as computers and peripheral equipment, telecommunications equipment and consumer electronics, by specialized stores.",
"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores","4741","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","474 Retail sale of information and communications equipment in specialized stores","This class includes:
- retail sale of computers
- retail sale of computer peripheral equipment
- retail sale of video game consoles
- retail sale of non-customized software, including video games
- retail sale of telecommunication equipment","This class excludes:
- retail sale of blank tapes and disks, see 4762"
"Retail sale of audio and video equipment in specialized stores","4742","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","474 Retail sale of information and communications equipment in specialized stores","This class includes:
- retail sale of radio and television equipment
- retail sale of stereo equipment
- retail sale of CD and DVD players and recorders",
"Retail sale of other household equipment in specialized stores","475","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles",,"This group includes the retail sale of household equipment, such as textiles, hardware, carpets, electrical appliances or furniture, in specialized stores.",
"Retail sale of textiles in specialized stores","4751","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","475 Retail sale of other household equipment in specialized stores","This class includes:
- retail sale of fabrics
- retail sale of knitting yarn
- retail sale of basic materials for rug, tapestry or embroidery making
- retail sale of textiles
- retail sale of haberdashery: needles, sewing thread etc.","This class excludes:
- retail sale of clothing, see 4771"
"Retail sale of hardware, paints and glass in specialized stores","4752","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","475 Retail sale of other household equipment in specialized stores","This class includes:
- retail sale of hardware
- retail sale of paints, varnishes and lacquers
- retail sale of flat glass
- retail sale of other building material such as bricks, wood, sanitary equipment
- retail sale of do-it-yourself material and equip",
"Retail sale of carpets, rugs, wall and floor coverings in specialized stores","4753","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","475 Retail sale of other household equipment in specialized stores","This class includes:
- retail sale of carpets and rugs
- retail sale of curtains and net curtains
- retail sale of wallpaper and floor coverings","This class excludes:
- retail sale of cork floor tiles, see 4752"
"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","4759","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","475 Retail sale of other household equipment in specialized stores","This class includes:
- retail sale of household furniture
- retail sale of articles for lighting
- retail sale of household utensils and cutlery, crockery, glassware, china and pottery
- retail sale of wooden, cork and wickerwork goods
- retail sale of ho","This class excludes:
- retail sale of antiques, see 4774"
"Retail sale of cultural and recreation goods in specialized stores","476","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles",,"This group includes the retail sale in specialized stores of cultural and recreation goods, such as books, newspapers, music and video recordings, sporting equipment, games and toys.",
"Retail sale of books, newspapers and stationary in specialized stores","4761","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","476 Retail sale of cultural and recreation goods in specialized stores","This class includes:
- retail sale of books of all kinds
- retail sale of newspapers and stationery

This class also includes:
- retail sale of office supplies such as pens, pencils, paper etc.","This class excludes:
- retail sale of second-hand or antique books, see 4774"
"Retail sale of music and video recordings in specialized stores","4762","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","476 Retail sale of cultural and recreation goods in specialized stores","This class includes:
- retail sale of musical records, audio tapes, compact discs and cassettes
- retail sale of video tapes and DVDs

This class also includes:
- retail sale of blank tapes and discs",
"Retail sale of sporting equipment in specialized stores","4763","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","476 Retail sale of cultural and recreation goods in specialized stores","This class includes:
- retail sale of sports goods, fishing gear, camping goods, boats and bicycles",
