product_hs92_code_4d,product_hs92_name_4d,product_hs92_code_2d,product_hs92_name_2d,product_hs92_code_1d,product_hs92_name_1d
2602,Manganese > 47% by weight,26,"Ores, slag and ash",3,Minerals
2603,Copper ore,26,"Ores, slag and ash",3,Minerals
2604,Nickel ore,26,"Ores, slag and ash",3,Minerals
2605,Cobalt ore,26,"Ores, slag and ash",3,Minerals
2606,Aluminum ore,26,"Ores, slag and ash",3,Minerals
2607,Lead ore,26,"Ores, slag and ash",3,Minerals
2608,Zinc ore,26,"Ores, slag and ash",3,Minerals
2609,Tin ore,26,"Ores, slag and ash",3,Minerals
2610,Chromium ore,26,"Ores, slag and ash",3,Minerals
2611,Tungsten ore,26,"Ores, slag and ash",3,Minerals
2612,Uranium ore,26,"Ores, slag and ash",3,Minerals
2613,Molybdenum ore,26,"Ores, slag and ash",3,Minerals
2614,Titanium ore,26,"Ores, slag and ash",3,Minerals
2615,Zirconium ore,26,"Ores, slag and ash",3,Minerals
2616,Precious metal ores,26,"Ores, slag and ash",3,Minerals
2617,Other ores,26,"Ores, slag and ash",3,Minerals
2618,Granulated iron or steel slag,26,"Ores, slag and ash",3,Minerals
2619,Iron or steel slag,26,"Ores, slag and ash",3,Minerals
2620,"Slag, ash and residues containing metals",26,"Ores, slag and ash",3,Minerals
2621,Other slag and ash,26,"Ores, slag and ash",3,Minerals
2701,Coal,27,"Mineral fuels, oils and waxes",3,Minerals
2702,Lignite,27,"Mineral fuels, oils and waxes",3,Minerals
2703,Peat,27,"Mineral fuels, oils and waxes",3,Minerals
2704,Coke,27,"Mineral fuels, oils and waxes",3,Minerals
2705,Non-petroleum gases,27,"Mineral fuels, oils and waxes",3,Minerals
2706,"Tar distilled from coal, lignite etc.",27,"Mineral fuels, oils and waxes",3,Minerals
2707,Oils etc. from high temperature coal tar,27,"Mineral fuels, oils and waxes",3,Minerals
2708,Pitch and pitch coke,27,"Mineral fuels, oils and waxes",3,Minerals
2709,"Petroleum oils, crude",27,"Mineral fuels, oils and waxes",3,Minerals
2710,"Petroleum oils, refined",27,"Mineral fuels, oils and waxes",3,Minerals
2711,Petroleum gases,27,"Mineral fuels, oils and waxes",3,Minerals
2712,Petroleum jelly,27,"Mineral fuels, oils and waxes",3,Minerals
2713,Petroleum coke,27,"Mineral fuels, oils and waxes",3,Minerals
2714,"Bitumen and asphalt, natural",27,"Mineral fuels, oils and waxes",3,Minerals
2715,Bituminous mixtures,27,"Mineral fuels, oils and waxes",3,Minerals
2716,Electrical energy,27,"Mineral fuels, oils and waxes",3,Minerals
2801,Iodine,28,Inorganic chemicals,5,Chemicals
2802,"Sulfur, sublimed or precipitated",28,Inorganic chemicals,5,Chemicals
2803,Carbon,28,Inorganic chemicals,5,Chemicals
2804,Silicon & rare gases,28,Inorganic chemicals,5,Chemicals
2805,Rare-earth metals,28,Inorganic chemicals,5,Chemicals
2806,Hydrochloric acid,28,Inorganic chemicals,5,Chemicals
2807,"Sulfiric acid, oleum",28,Inorganic chemicals,5,Chemicals
2808,Sulfonitric acids,28,Inorganic chemicals,5,Chemicals
2809,Phosphoric acid etc.,28,Inorganic chemicals,5,Chemicals
2810,Oxides of boron; boric acids,28,Inorganic chemicals,5,Chemicals
2811,Other inorganic acids,28,Inorganic chemicals,5,Chemicals
2812,Halides of nonmetals,28,Inorganic chemicals,5,Chemicals
2813,Sulfides of nonmetals,28,Inorganic chemicals,5,Chemicals
2814,Ammonia,28,Inorganic chemicals,5,Chemicals
2815,Sodium hydroxide,28,Inorganic chemicals,5,Chemicals
2816,Hydroxides or peroxides of magnesium,28,Inorganic chemicals,5,Chemicals
2817,Zinc oxide or peroxide,28,Inorganic chemicals,5,Chemicals
2818,Aluminum oxide,28,Inorganic chemicals,5,Chemicals
2819,Chromium oxides and hydroxides,28,Inorganic chemicals,5,Chemicals
2820,Manganese oxides,28,Inorganic chemicals,5,Chemicals
2821,Iron oxides and hydroxides,28,Inorganic chemicals,5,Chemicals
2822,Cobalt oxides and hydroxides,28,Inorganic chemicals,5,Chemicals
2823,Titanium oxides,28,Inorganic chemicals,5,Chemicals
2824,Lead oxides,28,Inorganic chemicals,5,Chemicals
2825,"Metal base oxides, n.e.c.",28,Inorganic chemicals,5,Chemicals
