ciiu,ciiu_descripcion,ciiu_clases_comparten,clases_comparten,razon_empleo_total
2220,Fabricación de productos de plástico (fabricación de juntas de plástico),1702,322220,0.08675489184272508
2220,Fabricación de productos de plástico (fabricación de juntas de plástico),1709,"322220,339999",0.08675489184272508
2220,Fabricación de productos de plástico (fabricación de juntas de plástico),2420,322220,0.08675489184272508
2220,Fabricación de productos de plástico (fabricación de juntas de plástico),3100,"326198,326194,337910",0.022590388971406222
2220,Fabricación de productos de plástico (fabricación de juntas de plástico),2720,326198,0.022590388971406222
2220,Fabricación de productos de plástico (fabricación de juntas de plástico),2593,337920,0.001973917482938408
2220,Fabricación de productos de plástico (fabricación de juntas de plástico),3011,336360,0.04742275829380421
2220,Fabricación de productos de plástico (fabricación de juntas de plástico),3020,336360,0.04742275829380421
2220,Fabricación de productos de plástico (fabricación de juntas de plástico),3030,336360,0.04742275829380421
2220,Fabricación de productos de plástico (fabricación de juntas de plástico),2930,336360,0.04742275829380421
1410,"Fabricación de prendas de vestir, excepto prendas de piel (fabricación de redes para cabello)",1420,"315999,315210",0.09294470715959367
1410,"Fabricación de prendas de vestir, excepto prendas de piel (fabricación de redes para cabello)",1520,316999,0.006994003921028679
1410,"Fabricación de prendas de vestir, excepto prendas de piel (fabricación de redes para cabello)",1512,"316999,339999",0.006994003921028679
1420,Fabricación de artículos de piel (confección de guantes y mitones),1399,315999,0.09294470715959367
1420,Fabricación de artículos de piel (confección de guantes y mitones),1410,"315999,315210",0.09294470715959367
1520,Fabricación de calzado (fabricación de partes para calzado de cuero y piel),1410,316999,0.006994003921028679
1520,Fabricación de calzado (fabricación de partes para calzado de cuero y piel),1512,316999,0.006994003921028679
1512,"Fabricación de maletas, bolsos de mano y artículos similares, y de artículos de talabartería y guarnicionería (fabricación de juntas de cuero)",1410,"316999,339999",0.006994003921028679
1512,"Fabricación de maletas, bolsos de mano y artículos similares, y de artículos de talabartería y guarnicionería (fabricación de juntas de cuero)",1520,316999,0.006994003921028679
1622,Fabricación de partes y piezas de carpintería para edificios y construcciones (fabricación de mamparas de madera),1610,"321999,321910,321111",0.005068825141372701
1622,Fabricación de partes y piezas de carpintería para edificios y construcciones (fabricación de mamparas de madera),1629,"321999,321111",0.005068825141372701
1622,Fabricación de partes y piezas de carpintería para edificios y construcciones (fabricación de mamparas de madera),3100,337210,0.10512938298020112
1622,Fabricación de partes y piezas de carpintería para edificios y construcciones (fabricación de mamparas de madera),2511,337210,0.10512938298020112
1623,Fabricación de recipientes de madera (fabricación de productos de madera de uso industrial),1629,"321920,321111",0.015108998017553244
1701,"Fabricación de pasta de madera, papel y cartón (fabricación de papel esténcil)",1629,339940,0.05358820425903158
1701,"Fabricación de pasta de madera, papel y cartón (fabricación de papel esténcil)",1399,"339940,322220",0.05358820425903158
1701,"Fabricación de pasta de madera, papel y cartón (fabricación de papel esténcil)",2220,322220,0.08675489184272508
1701,"Fabricación de pasta de madera, papel y cartón (fabricación de papel esténcil)",2399,322122,0.1763366284758311
1701,"Fabricación de pasta de madera, papel y cartón (fabricación de papel esténcil)",2420,322220,0.08675489184272508
1701,"Fabricación de pasta de madera, papel y cartón (fabricación de papel esténcil)",2599,322220,0.08675489184272508
1701,"Fabricación de pasta de madera, papel y cartón (fabricación de papel esténcil)",2022,339940,0.05358820425903158
1701,"Fabricación de pasta de madera, papel y cartón (fabricación de papel esténcil)",2817,339940,0.05358820425903158
1701,"Fabricación de pasta de madera, papel y cartón (fabricación de papel esténcil)",2819,339940,0.05358820425903158
1701,"Fabricación de pasta de madera, papel y cartón (fabricación de papel esténcil)",3290,339940,0.05358820425903158
1702,Fabricación de papel y cartón ondulado y de envases de papel y cartón (fabricación de productos de papel troquelado),1399,322220,0.08675489184272508
1702,Fabricación de papel y cartón ondulado y de envases de papel y cartón (fabricación de productos de papel troquelado),2220,322220,0.08675489184272508
1702,Fabricación de papel y cartón ondulado y de envases de papel y cartón (fabricación de productos de papel troquelado),2399,322122,0.1763366284758311
1702,Fabricación de papel y cartón ondulado y de envases de papel y cartón (fabricación de productos de papel troquelado),2420,322220,0.08675489184272508
1702,Fabricación de papel y cartón ondulado y de envases de papel y cartón (fabricación de productos de papel troquelado),2599,322220,0.08675489184272508
1709,Fabricación de otros artículos de papel y cartón (fabricación de juntas de papel y cartón),1629,"339940,339999",0.05358820425903158
1709,Fabricación de otros artículos de papel y cartón (fabricación de juntas de papel y cartón),1399,"339940,322220,339999",0.05358820425903158
1709,Fabricación de otros artículos de papel y cartón (fabricación de juntas de papel y cartón),1313,323119,1.0038467021565658
1709,Fabricación de otros artículos de papel y cartón (fabricación de juntas de papel y cartón),2220,"322220,339999",0.08675489184272508
