ciiu,tag,year,import_weighted_value,share_on_total_imports,variable,division,seccion,ciiu_nombre,pci,cog,distance,rca
2023,rest_of_world,2020,905148705.5986345,0.7274709838645165,2023,Sustancias Y Productos Químicos,Industrias manufactureras," Jabones Y Detergentes, Preparados Para Limpiar Y Pulir, Perfumes Y Preparados De Tocador ",3.0527748703223567,0.0,0.940472679974922,1.6311742751534084
2023,rest_of_world,2021,976373739.0255506,0.7455485154865575,2023,Sustancias Y Productos Químicos,Industrias manufactureras," Jabones Y Detergentes, Preparados Para Limpiar Y Pulir, Perfumes Y Preparados De Tocador ",3.0527748703223567,0.0,0.940472679974922,1.6311742751534084
2023,rest_of_world,2022,1067316981.6764715,0.7536078119367541,2023,Sustancias Y Productos Químicos,Industrias manufactureras," Jabones Y Detergentes, Preparados Para Limpiar Y Pulir, Perfumes Y Preparados De Tocador ",3.0527748703223567,0.0,0.940472679974922,1.6311742751534084
2023,rest_of_world,2023,1169161694.8796802,0.7995495425526408,2023,Sustancias Y Productos Químicos,Industrias manufactureras," Jabones Y Detergentes, Preparados Para Limpiar Y Pulir, Perfumes Y Preparados De Tocador ",3.0527748703223567,0.0,0.940472679974922,1.6311742751534084
2029,paises_interes,2020,42447706.819444455,0.05970990720612056,2029,Sustancias Y Productos Químicos,Industrias manufactureras, Otros Productos Químicos N.C.P. ,0.5679007590797953,0.4810509617390688,0.9964490077791742,0.707018091020001
2029,paises_interes,2021,46701527.597222224,0.05107520530355151,2029,Sustancias Y Productos Químicos,Industrias manufactureras, Otros Productos Químicos N.C.P. ,0.5679007590797953,0.4810509617390688,0.9964490077791742,0.707018091020001
2029,paises_interes,2022,50103965.401515156,0.046106535959029284,2029,Sustancias Y Productos Químicos,Industrias manufactureras, Otros Productos Químicos N.C.P. ,0.5679007590797953,0.4810509617390688,0.9964490077791742,0.707018091020001
2029,paises_interes,2023,44421180.76010102,0.04085988859277027,2029,Sustancias Y Productos Químicos,Industrias manufactureras, Otros Productos Químicos N.C.P. ,0.5679007590797953,0.4810509617390688,0.9964490077791742,0.707018091020001
2029,rest_of_world,2020,668451184.2626264,0.9402900927938795,2029,Sustancias Y Productos Químicos,Industrias manufactureras, Otros Productos Químicos N.C.P. ,0.5679007590797953,0.4810509617390688,0.9964490077791742,0.707018091020001
2029,rest_of_world,2021,867666360.29798,0.9489247946964485,2029,Sustancias Y Productos Químicos,Industrias manufactureras, Otros Productos Químicos N.C.P. ,0.5679007590797953,0.4810509617390688,0.9964490077791742,0.707018091020001
2029,rest_of_world,2022,1036595877.8926768,0.9538934640409706,2029,Sustancias Y Productos Químicos,Industrias manufactureras, Otros Productos Químicos N.C.P. ,0.5679007590797953,0.4810509617390688,0.9964490077791742,0.707018091020001
2029,rest_of_world,2023,1042737455.4962122,0.9591401114072297,2029,Sustancias Y Productos Químicos,Industrias manufactureras, Otros Productos Químicos N.C.P. ,0.5679007590797953,0.4810509617390688,0.9964490077791742,0.707018091020001
2310,paises_interes,2020,320696618.66967404,0.3624068821768775,2310,Otros Productos Minerales No Metálicos,Industrias manufactureras, Vidrio Y Productos De Vidrio ,3.5214861313058017,0.0,0.8545513586349774,1.7213905752700838
2310,paises_interes,2021,419951793.52911425,0.38638560101287,2310,Otros Productos Minerales No Metálicos,Industrias manufactureras, Vidrio Y Productos De Vidrio ,3.5214861313058017,0.0,0.8545513586349774,1.7213905752700838
2310,paises_interes,2022,476538943.96637404,0.4011557169597252,2310,Otros Productos Minerales No Metálicos,Industrias manufactureras, Vidrio Y Productos De Vidrio ,3.5214861313058017,0.0,0.8545513586349774,1.7213905752700838
2310,paises_interes,2023,350955371.8596072,0.33475683845458504,2310,Otros Productos Minerales No Metálicos,Industrias manufactureras, Vidrio Y Productos De Vidrio ,3.5214861313058017,0.0,0.8545513586349774,1.7213905752700838
2310,rest_of_world,2020,564211020.8964912,0.6375931178231224,2310,Otros Productos Minerales No Metálicos,Industrias manufactureras, Vidrio Y Productos De Vidrio ,3.5214861313058017,0.0,0.8545513586349774,1.7213905752700838
2310,rest_of_world,2021,666920471.9700501,0.61361439898713,2310,Otros Productos Minerales No Metálicos,Industrias manufactureras, Vidrio Y Productos De Vidrio ,3.5214861313058017,0.0,0.8545513586349774,1.7213905752700838
